Timestamp,Intensity
2018-06-15 02:01:10,nan
2018-06-15 02:01:20,0.0
2018-06-15 02:01:30,0.0
2018-06-15 02:01:40,0.0
2018-06-15 02:01:50,0.0
2018-06-15 02:02:00,0.0
2018-06-15 02:02:10,0.0
2018-06-15 02:02:20,0.0
2018-06-15 02:02:30,0.0
2018-06-15 02:02:40,0.0
2018-06-15 02:02:50,0.0
2018-06-15 02:03:00,0.0
2018-06-15 02:03:10,0.0
2018-06-15 02:03:20,0.0
2018-06-15 02:03:30,0.0
2018-06-15 02:03:40,0.0
2018-06-15 02:03:50,0.0
2018-06-15 02:04:00,0.0
2018-06-15 02:04:10,0.0
2018-06-15 02:04:20,0.0
2018-06-15 02:04:30,0.0
2018-06-15 02:04:40,0.0
2018-06-15 02:04:50,0.0
2018-06-15 02:05:00,0.0
2018-06-15 02:05:10,0.0
2018-06-15 02:05:20,0.0
2018-06-15 02:05:30,0.0
2018-06-15 02:05:40,0.0
2018-06-15 02:05:50,0.0
2018-06-15 02:06:00,0.0
2018-06-15 02:06:10,0.0
2018-06-15 02:06:20,0.0
2018-06-15 02:06:30,0.0
2018-06-15 02:06:40,0.0
2018-06-15 02:06:50,0.0
2018-06-15 02:07:00,0.0
2018-06-15 02:07:10,0.0
2018-06-15 02:07:20,0.0
2018-06-15 02:07:30,0.0
2018-06-15 02:07:40,0.0
2018-06-15 02:07:50,0.0
2018-06-15 02:08:00,0.0
2018-06-15 02:08:10,0.0
2018-06-15 02:08:20,0.0
2018-06-15 02:08:30,0.0
2018-06-15 02:08:40,0.0
2018-06-15 02:08:50,0.0
2018-06-15 02:09:00,0.0
2018-06-15 02:09:10,0.0
2018-06-15 02:09:20,0.0
2018-06-15 02:09:30,0.0
2018-06-15 02:09:40,0.0
2018-06-15 02:09:50,0.0
2018-06-15 02:10:00,0.0
2018-06-15 02:10:10,0.0
2018-06-15 02:10:20,0.0
2018-06-15 02:10:30,0.0
2018-06-15 02:10:40,0.0
2018-06-15 02:10:50,0.0
